pvs,r_frames_4k,r_frames_1080,mean_v0_4k,mean_v1_4k,range_v0_4k,range_v1_4k,res_label,codec,crf,src
Boat_1920x1080_5994_10bit_420__1920x1080__av1__crf20,,-0.007927230728720933,99.98179762307691,100.0,2.3372300000000052,0.0,1080p,av1,20,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1920x1080__av1__crf30,0.3875249970449537,0.7051840416710253,99.18682899999999,99.97476553846154,4.151467999999994,0.6848760000000027,1080p,av1,30,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1920x1080__av1__crf40,0.9108888045834079,0.8676172900060624,96.24840139230768,97.36832658461539,6.620409999999993,6.035324000000003,1080p,av1,40,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1920x1080__av1__crf50,0.9433187584743683,0.9237208097228448,91.85647697692308,92.87817093076923,9.308357999999998,9.109743999999992,1080p,av1,50,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1920x1080__av1__crf60,0.9706505815576763,0.9650281139473743,83.33103674615386,83.52688076923077,11.545873,11.91872500000001,1080p,av1,60,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf18,0.4894789902156025,0.8742082141660329,98.90353106923077,99.94935867692307,3.4446429999999992,2.039845999999997,1080p,h264,18,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf23,0.9611796779896319,0.936353292442437,95.73688627692307,97.21819176153846,7.411804000000004,7.376792999999992,1080p,h264,23,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf28,0.9717103745056016,0.9626016694987741,89.88973273076923,90.8834247923077,9.962191000000004,10.899167000000006,1080p,h264,28,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf33,0.9784173813654446,0.9770322092451446,80.0858630076923,80.14801115384616,11.964597999999995,15.561332000000007,1080p,h264,33,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf38,0.9644038661961646,0.9707192658057798,65.48156362307692,61.99492862307692,12.099731999999996,20.39550400000001,1080p,h264,38,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf43,0.9148706508500354,0.943006103276004,48.204610938461535,36.405410161538455,8.132598000000002,17.919660999999998,1080p,h264,43,Boat_1920x1080_5994_10bit_420
