pvs,src,codec,res_label,short_side,crf,pvs_set,bitrate_kbps,src_bitdepth,fps,v0_1080,v0_4k,v1_1d5h_2160,v1_1d5h_2160_8bit,v1_3d0h_1080
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf43,Boat_1920x1080_5994_10bit_420,hevc,720p,720,43,ladder,324.418,10-bit src,59.94006309148265,18.834,44.69,26.73,26.73,31.169
Boat_1920x1080_5994_10bit_420__1280x720__vp9__crf20,Boat_1920x1080_5994_10bit_420,vp9,720p,720,20,ladder,26974.325,10-bit src,59.94006309148265,96.409,97.036,98.278,98.278,96.959
Boat_1920x1080_5994_10bit_420__1280x720__vp9__crf30,Boat_1920x1080_5994_10bit_420,vp9,720p,720,30,ladder,15311.708,10-bit src,59.94006309148265,93.024,94.797,95.859,95.859,94.813
Boat_1920x1080_5994_10bit_420__1280x720__vp9__crf40,Boat_1920x1080_5994_10bit_420,vp9,720p,720,40,ladder,7532.713,10-bit src,59.94006309148265,85.013,89.605,90.407,90.407,89.963
Boat_1920x1080_5994_10bit_420__1280x720__vp9__crf50,Boat_1920x1080_5994_10bit_420,vp9,720p,720,50,ladder,3439.572,10-bit src,59.94006309148265,69.821,79.926,79.215,79.215,79.915
Boat_1920x1080_5994_10bit_420__1280x720__vp9__crf60,Boat_1920x1080_5994_10bit_420,vp9,720p,720,60,ladder,1377.722,10-bit src,59.94006309148265,47.247,65.306,59.144,59.144,61.584
Boat_1920x1080_5994_10bit_420__1920x1080__av1__crf20,Boat_1920x1080_5994_10bit_420,av1,1080p,1080,20,ladder,32908.142,10-bit src,59.94006309148265,99.954,99.982,100.0,100.0,99.999
Boat_1920x1080_5994_10bit_420__1920x1080__av1__crf30,Boat_1920x1080_5994_10bit_420,av1,1080p,1080,30,ladder,16940.171,10-bit src,59.94006309148265,99.107,99.187,99.975,99.975,99.073
Boat_1920x1080_5994_10bit_420__1920x1080__av1__crf40,Boat_1920x1080_5994_10bit_420,av1,1080p,1080,40,ladder,8535.668,10-bit src,59.94006309148265,94.929,96.248,97.368,97.368,96.154
Boat_1920x1080_5994_10bit_420__1920x1080__av1__crf50,Boat_1920x1080_5994_10bit_420,av1,1080p,1080,50,ladder,4671.162,10-bit src,59.94006309148265,88.457,91.856,92.878,92.878,92.166
Boat_1920x1080_5994_10bit_420__1920x1080__av1__crf60,Boat_1920x1080_5994_10bit_420,av1,1080p,1080,60,ladder,2103.107,10-bit src,59.94006309148265,75.655,83.331,83.527,83.527,83.802
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf18,Boat_1920x1080_5994_10bit_420,h264,1080p,1080,18,ladder,22164.883,10-bit src,59.94006309148265,98.772,98.904,99.949,99.949,99.149
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf23,Boat_1920x1080_5994_10bit_420,h264,1080p,1080,23,ladder,11649.91,10-bit src,59.94006309148265,94.187,95.737,97.218,97.218,96.018
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf28,Boat_1920x1080_5994_10bit_420,h264,1080p,1080,28,ladder,6309.499,10-bit src,59.94006309148265,85.192,89.89,90.883,90.883,90.389
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf33,Boat_1920x1080_5994_10bit_420,h264,1080p,1080,33,ladder,3338.6,10-bit src,59.94006309148265,69.869,80.086,80.148,80.148,80.76
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf38,Boat_1920x1080_5994_10bit_420,h264,1080p,1080,38,ladder,1714.987,10-bit src,59.94006309148265,47.509,65.482,61.995,61.995,64.221
Boat_1920x1080_5994_10bit_420__1920x1080__h264__crf43,Boat_1920x1080_5994_10bit_420,h264,1080p,1080,43,ladder,1021.237,10-bit src,59.94006309148265,23.294,48.205,36.405,36.405,40.358
Boat_1920x1080_5994_10bit_420__1920x1080__hevc__crf18,Boat_1920x1080_5994_10bit_420,hevc,1080p,1080,18,ladder,22809.032,10-bit src,59.94006309148265,99.052,99.117,99.998,99.998,99.213
Boat_1920x1080_5994_10bit_420__1920x1080__hevc__crf23,Boat_1920x1080_5994_10bit_420,hevc,1080p,1080,23,ladder,11870.734,10-bit src,59.94006309148265,94.809,96.143,97.601,97.601,96.36
